category;description;code;product_line
Suplementos;Spirulina;PT01; en cápsulas vegetal
Alimentos en polvo;Spirulina;PT03; en polvo 100 g
Alimentos en polvo;Spirulina;PT122; Hojuelas 12 g
Alimentos en polvo;Spirulina con Acai en polvo x 100 g.;PT153;con Acai polvo 100g
Alimentos en polvo;Spirulina con Maca en polvo x 100 g.;PT147;con maca polvo 100g
Suplementos;Spirulina ;PT76;Tabletas
Infusiones naturales;Spiruté verde ;PT05;unidad 30 bolsitas x 1.5g
Infusiones naturales;Spiruté rojo;PT06;unidad 30 bolsitas x 1.5g
Infusiones naturales;Spiruté Moringa;PT117;unidad 30 bolsitas x 1.5g
Infusiones naturales;Spiruté Cúrcuma;PT155;unidad 30 bolsitas x 1.5g
Clorofila;Green3 Pastillas x 60 ;PT07;Pastillas x 60unds
Clorofila;Green3 bebida ;PT08;Bebida
Clorofila;Green Fiber x 200g;PT09;Unidad x 200g
Alimentos en polvo; SPIRACTIVE proteina  ;PT59;Unidad x 510g
Alimentos en polvo; SPIRACTIVE proteina  210 ;PT174;Unidad x 210g
Alimentos en polvo; Cúrcuma en polvo 100%   ;PT136;Unidad polvo x 60g
Clorofila;Spirumenta Docena;PT145;Docena
Clorofila;Spirumenta unidad;PT146;Unidad
Snacks saludables;Six Pack Rosquillas Veganas 40 g;65026;Veganas 40g six pack
Snacks saludables;Six Pack Rosquillas Surtidas x 40 g;65028;Surtidas 40g six pack
Snacks saludables;Six Pack Rosquillas Chia y linaza 40 g;65024;Chia y linaza 40g six pack
Snacks saludables;Six Pack Rosquillas spirulina ;65038;Spirulina 40g six pack
Snacks saludables; Docena Rosquillas con spirulina 40g;65027;Spirulina 40g docena
Snacks saludables; Docena Rosquillas Veganas  40g;65025;Veganas 40g docena
Snacks saludables; Docena Rosquillas Chia y linaza 40 g;65023;Chia y linaza 40g docena
Snacks saludables; Docena Rosquillas Chia y linaza 75 g;65021;Chia y linaza 75g docena
Snacks saludables;Spirulina protein balls ;PT173;50g x 6 unds
Snacks saludables; Docena Rosquillas Chia y linaza 30 g;65029;Chia y linaza 30g docena
Snacks saludables;Paqueton Rosquillas 210 g;65037;Chia y linaza 210g unidad
Infusiones naturales;Spiruté cacao;PT175;unidad 30 bolsitas x 1.5g
Alimentos en polvo;Golden Latte;PT177;Unidad polvo x 100g
